id,full_name,first_name,last_name,GROUP_VALUE,TEAM_ABBREVIATION,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,2000-01,VAN,485.1716666666667,0.488,0.286,0.759,25,76,26,9,1,266
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,1997-98,SAC,530.5883333333334,0.377,0.161,1.0,37,58,19,16,1,227
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,1996-97,SAC,2119.9333333333334,0.445,0.382,0.846,122,189,119,56,6,1031
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,2002-03,DAL,203.58333333333331,0.466,0.0,0.5,40,21,7,6,3,57
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,2001-02,TOT,442.4033333333333,0.374,0.5,0.727,84,24,27,20,10,135
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,2001-02,DAL,23.805,0.0,0.0,0.0,6,2,3,2,1,0
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,2001-02,DEN,418.59833333333336,0.379,0.5,0.75,78,22,24,18,9,135
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,2000-01,DEN,420.6983333333333,0.387,0.4,0.583,59,22,34,14,13,111
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,1999-00,TOT,1574.78,0.424,0.13,0.756,291,98,106,59,28,697
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,1999-00,DEN,371.54833333333335,0.389,0.5,0.738,52,26,19,6,12,134
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,1999-00,ORL,1203.2316666666666,0.433,0.095,0.762,239,72,87,53,16,563
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,1998-99,SAC,1200.5883333333334,0.435,0.286,0.691,186,50,70,50,16,454
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,1997-98,SAC,960.6183333333332,0.403,0.211,0.672,116,51,65,35,13,376
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2007-08,SAC,50.556666666666665,0.214,0.0,1.0,10,4,1,1,0,10
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2006-07,SAC,2014.6666666666667,0.474,0.15,0.726,398,109,116,53,40,793
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2005-06,SAC,1961.3566666666663,0.525,0.227,0.784,357,149,108,48,42,887
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2004-05,POR,1874.06,0.503,0.385,0.866,392,111,117,49,26,909
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2003-04,TOT,2690.3216666666667,0.475,0.265,0.869,639,174,184,68,37,1384
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2003-04,POR,731.1883333333334,0.447,0.364,0.832,144,47,53,24,18,319
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2003-04,ATL,1959.1333333333332,0.485,0.217,0.88,495,127,131,44,19,1065
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2002-03,ATL,3079.3716666666664,0.478,0.35,0.841,677,242,212,87,38,1608
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2001-02,ATL,2978.0783333333334,0.461,0.3,0.801,696,239,250,98,81,1636
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,2000-01,VAN,3240.56,0.472,0.188,0.834,735,250,231,90,77,1663
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,1999-00,VAN,3223.7816666666668,0.465,0.302,0.809,825,271,249,89,87,1663
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,1998-99,VAN,2019.8233333333333,0.432,0.306,0.841,374,172,186,69,55,1152
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,1997-98,VAN,2947.7966666666666,0.484,0.412,0.784,581,213,257,89,76,1829
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,1996-97,VAN,2803.603333333333,0.453,0.259,0.746,555,175,225,79,79,1494
203518,Alex Abrines,Alex,Abrines,2018-19,OKC,588.2733333333333,0.357,0.323,0.923,48,20,14,17,6,165
203518,Alex Abrines,Alex,Abrines,2017-18,OKC,1134.1866666666667,0.395,0.38,0.848,114,28,25,38,8,353
203518,Alex Abrines,Alex,Abrines,2016-17,OKC,1055.1966666666667,0.393,0.381,0.898,86,40,33,37,8,406
101165,Alex Acker,Alex,Acker,2008-09,TOT,199.57833333333332,0.395,0.35,0.5,24,12,7,5,4,72
101165,Alex Acker,Alex,Acker,2008-09,LAC,179.11166666666668,0.4,0.438,0.5,22,11,7,3,3,63
101165,Alex Acker,Alex,Acker,2008-09,DET,20.466666666666665,0.364,0.0,0.5,2,1,0,2,1,9
101165,Alex Acker,Alex,Acker,2005-06,DET,35.10666666666667,0.25,0.2,0.0,5,4,4,1,0,9
203112,Quincy Acy,Quincy,Acy,2018-19,PHX,122.93,0.222,0.133,0.7,25,8,4,1,4,17
203112,Quincy Acy,Quincy,Acy,2017-18,BKN,1359.2216666666666,0.356,0.349,0.817,257,57,60,33,29,411
203112,Quincy Acy,Quincy,Acy,2016-17,TOT,557.7333333333333,0.412,0.411,0.75,115,18,21,14,15,222
203112,Quincy Acy,Quincy,Acy,2016-17,BKN,509.82166666666666,0.425,0.434,0.754,107,18,19,14,15,209
203112,Quincy Acy,Quincy,Acy,2016-17,DAL,47.91166666666667,0.294,0.143,0.667,8,0,2,0,0,13
203112,Quincy Acy,Quincy,Acy,2015-16,SAC,875.8933333333333,0.556,0.388,0.735,188,27,27,29,24,307
203112,Quincy Acy,Quincy,Acy,2014-15,NYK,1287.0816666666667,0.459,0.3,0.784,301,68,60,27,22,398
203112,Quincy Acy,Quincy,Acy,2013-14,TOT,847.695,0.468,0.267,0.66,216,28,30,23,26,171
203112,Quincy Acy,Quincy,Acy,2013-14,SAC,786.2816666666666,0.472,0.2,0.667,201,24,28,19,23,152
203112,Quincy Acy,Quincy,Acy,2013-14,TOR,61.41333333333333,0.429,0.4,0.625,15,4,2,4,3,19
203112,Quincy Acy,Quincy,Acy,2012-13,TOR,342.33666666666664,0.56,0.5,0.816,77,11,17,13,15,116
200801,Hassan Adams,Hassan,Adams,2008-09,TOR,51.91,0.308,0.0,0.5,7,1,4,1,1,11
200801,Hassan Adams,Hassan,Adams,2006-07,NJN,495.45166666666665,0.556,0.0,0.667,77,13,22,17,4,174
1629121,Jaylen Adams,Jaylen,Adams,2020-21,MIL,18.12,0.125,0.0,0.0,3,2,0,0,0,2
1629121,Jaylen Adams,Jaylen,Adams,2018-19,ATL,427.5883333333333,0.345,0.338,0.778,60,65,28,14,5,108
203919,Jordan Adams,Jordan,Adams,2015-16,MEM,14.666666666666666,0.333,0.0,0.6,2,3,2,3,0,7
203919,Jordan Adams,Jordan,Adams,2014-15,MEM,248.4183333333333,0.407,0.4,0.609,28,16,14,16,7,94
203500,Steven Adams,Steven,Adams,2020-21,NOP,1604.4983333333332,0.614,0.0,0.444,514,111,78,54,38,438
203500,Steven Adams,Steven,Adams,2019-20,OKC,1680.51,0.592,0.333,0.582,583,146,94,51,67,684
203500,Steven Adams,Steven,Adams,2018-19,OKC,2669.258333333333,0.595,0.0,0.5,760,124,135,117,76,1108
203500,Steven Adams,Steven,Adams,2017-18,OKC,2486.8516666666665,0.629,0.0,0.559,685,88,128,92,78,1056
203500,Steven Adams,Steven,Adams,2016-17,OKC,2389.365,0.571,0.0,0.611,613,86,146,89,78,905
203500,Steven Adams,Steven,Adams,2015-16,OKC,2014.388333333333,0.613,0.0,0.582,533,62,84,42,89,636
203500,Steven Adams,Steven,Adams,2014-15,OKC,1770.55,0.544,0.0,0.502,523,66,99,38,86,537
203500,Steven Adams,Steven,Adams,2013-14,OKC,1197.3233333333333,0.503,0.0,0.581,332,43,71,40,57,265
912,Rafael Addison,Rafael,Addison,1996-97,CHH,352.7366666666667,0.402,0.4,0.786,45,34,17,8,3,128
1628389,Bam Adebayo,Bam,Adebayo,2020-21,MIA,2142.616666666667,0.57,0.25,0.799,573,346,169,75,66,1197
1628389,Bam Adebayo,Bam,Adebayo,2019-20,MIA,2416.9616666666666,0.557,0.143,0.691,735,368,204,82,93,1146
1628389,Bam Adebayo,Bam,Adebayo,2018-19,MIA,1912.6,0.576,0.2,0.735,597,184,121,71,65,729
1628389,Bam Adebayo,Bam,Adebayo,2017-18,MIA,1368.185,0.512,0.0,0.721,381,101,66,32,41,477
1629061,Deng Adel,Deng,Adel,2018-19,CLE,194.17,0.306,0.261,1.0,19,5,6,1,4,32
202399,Jeff Adrien,Jeff,Adrien,2014-15,MIN,215.33166666666668,0.432,0.0,0.579,77,15,9,4,9,60
202399,Jeff Adrien,Jeff,Adrien,2013-14,TOT,961.9283333333332,0.52,0.0,0.639,306,38,39,24,36,362
202399,Jeff Adrien,Jeff,Adrien,2013-14,MIL,705.4766666666667,0.515,0.0,0.67,218,31,31,17,21,305
202399,Jeff Adrien,Jeff,Adrien,2013-14,CHA,256.45166666666665,0.55,0.0,0.52,88,7,8,7,15,57
202399,Jeff Adrien,Jeff,Adrien,2012-13,CHA,713.0083333333333,0.429,0.0,0.65,196,36,32,18,27,209
202399,Jeff Adrien,Jeff,Adrien,2011-12,HOU,62.755,0.438,0.0,0.583,22,1,2,0,2,21
202399,Jeff Adrien,Jeff,Adrien,2010-11,GSW,195.935,0.426,0.0,0.579,58,10,9,4,5,57
201167,Arron Afflalo,Arron,Afflalo,2017-18,ORL,681.575,0.401,0.386,0.846,66,30,21,4,9,179
201167,Arron Afflalo,Arron,Afflalo,2016-17,SAC,1579.815,0.44,0.411,0.892,125,78,42,21,6,515
201167,Arron Afflalo,Arron,Afflalo,2015-16,NYK,2370.923333333333,0.443,0.382,0.84,266,144,82,25,10,909
201167,Arron Afflalo,Arron,Afflalo,2014-15,TOT,2501.548333333333,0.424,0.354,0.843,247,129,116,41,7,1035
201167,Arron Afflalo,Arron,Afflalo,2014-15,POR,751.8266666666667,0.414,0.4,0.851,67,28,33,9,2,264
201167,Arron Afflalo,Arron,Afflalo,2014-15,DEN,1749.7216666666666,0.428,0.337,0.841,180,101,83,32,5,771
201167,Arron Afflalo,Arron,Afflalo,2013-14,ORL,2552.3416666666667,0.459,0.427,0.815,262,248,146,35,3,1330
201167,Arron Afflalo,Arron,Afflalo,2012-13,ORL,2306.65,0.439,0.3,0.857,239,206,138,40,11,1057
201167,Arron Afflalo,Arron,Afflalo,2011-12,DEN,2086.391666666667,0.471,0.398,0.798,197,149,85,36,13,943
201167,Arron Afflalo,Arron,Afflalo,2010-11,DEN,2324.293333333333,0.498,0.423,0.847,251,168,71,34,31,867
201167,Arron Afflalo,Arron,Afflalo,2009-10,DEN,2220.9966666666664,0.465,0.434,0.735,252,138,74,46,30,724
201167,Arron Afflalo,Arron,Afflalo,2008-09,DET,1233.825,0.437,0.402,0.817,134,44,43,28,13,363
201167,Arron Afflalo,Arron,Afflalo,2007-08,DET,970.3366666666668,0.411,0.208,0.782,137,52,34,31,8,276
200772,Maurice Ager,Maurice,Ager,2010-11,MIN,28.99833333333333,0.545,0.75,0.0,2,1,4,1,0,15
200772,Maurice Ager,Maurice,Ager,2008-09,NJN,97.31666666666666,0.349,0.0,0.5,10,3,4,1,2,34
200772,Maurice Ager,Maurice,Ager,2007-08,TOT,165.09333333333333,0.323,0.158,0.5,13,8,6,0,1,51
200772,Maurice Ager,Maurice,Ager,2007-08,NJN,88.25833333333334,0.421,0.273,0.167,9,4,3,0,0,36
200772,Maurice Ager,Maurice,Ager,2007-08,DAL,76.835,0.185,0.0,0.833,4,4,3,0,1,15
200772,Maurice Ager,Maurice,Ager,2006-07,DAL,214.365,0.314,0.333,0.606,21,7,15,4,3,69
201336,Blake Ahearn,Blake,Ahearn,2011-12,UTA,30.37833333333333,0.286,0.222,0.0,2,1,5,0,0,10
201336,Blake Ahearn,Blake,Ahearn,2008-09,SAS,18.8,0.333,0.5,1.0,1,2,1,1,0,8
201336,Blake Ahearn,Blake,Ahearn,2007-08,MIA,177.13,0.263,0.294,0.968,19,19,16,6,0,70
201582,Alexis Ajinca,Alexis,Ajinca,2016-17,NOP,584.335,0.5,0.0,0.725,177,12,31,20,22,207
201582,Alexis Ajinca,Alexis,Ajinca,2015-16,NOP,860.715,0.476,0.0,0.839,269,31,54,19,36,352
201582,Alexis Ajinca,Alexis,Ajinca,2014-15,NOP,956.5366666666666,0.55,0.0,0.818,315,47,69,21,51,443
201582,Alexis Ajinca,Alexis,Ajinca,2013-14,NOP,950.5783333333334,0.546,0.0,0.836,277,40,63,23,46,328
201582,Alexis Ajinca,Alexis,Ajinca,2010-11,TOT,339.84,0.444,0.353,0.722,78,10,18,11,19,143
