season,team,TEAM_ABBREVIATION,first_name,last_name,full_name,position,salary,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,mp,raptor_offense,raptor_defense,raptor_total,war_total
2000,Denver Nuggets,DEN,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,Shooting Guard,4500000,420.6983333,0.387,0.4,0.583,59,22,34,14,13,111,1578,-1.188052351,-0.457693754,-1.645746105,0.876071324
2001,Denver Nuggets,TOT,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,Shooting Guard,5062500,442.4033333,0.374,0.5,0.727,84,24,27,20,10,135,420,-5.303661332,-0.963653309,-6.267314641,-0.758929606
2001,Denver Nuggets,DAL,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,Shooting Guard,5062500,23.805,0,0,0,6,2,3,2,1,0,420,-5.303661332,-0.963653309,-6.267314641,-0.758929606
2001,Denver Nuggets,DEN,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,Shooting Guard,5062500,418.5983333,0.379,0.5,0.75,78,22,24,18,9,135,420,-5.303661332,-0.963653309,-6.267314641,-0.758929606
2002,Dallas Mavericks,DAL,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,Shooting Guard,5625000,203.5833333,0.466,0,0.5,40,21,7,6,3,57,441,-2.52432447,-0.478044626,-3.002369096,-0.056545837
2000,Vancouver Grizzlies,VAN,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,10130000,3240.56,0.472,0.188,0.834,735,250,231,90,77,1663,3223,1.461135587,-0.047800207,1.41333538,6.815217161
2001,Atlanta Hawks,ATL,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,11250000,2978.078333,0.461,0.3,0.801,696,239,250,98,81,1636,3241,0.528007645,-0.524749064,0.003258581,4.533112155
2002,Atlanta Hawks,ATL,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,12375000,3079.371667,0.478,0.35,0.841,677,242,212,87,38,1608,2980,-0.477622095,0.49452853,0.016906435,4.190998515
2003,Atlanta Hawks,TOT,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,13500000,2690.321667,0.475,0.265,0.869,639,174,184,68,37,1384,3087,1.510805464,-1.490183302,0.020622162,4.345879058
2003,Atlanta Hawks,POR,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,13500000,731.1883333,0.447,0.364,0.832,144,47,53,24,18,319,3087,1.510805464,-1.490183302,0.020622162,4.345879058
2003,Atlanta Hawks,ATL,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,13500000,1959.133333,0.485,0.217,0.88,495,127,131,44,19,1065,3087,1.510805464,-1.490183302,0.020622162,4.345879058
2004,Portland Trail Blazers,POR,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,14625000,1874.06,0.503,0.385,0.866,392,111,117,49,26,909,2684,0.503389245,-0.024217518,0.479171727,4.359558303
2005,Sacramento Kings,SAC,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,5000000,1961.356667,0.525,0.227,0.784,357,149,108,48,42,887,1867,0.690568161,-1.467867059,-0.777298898,1.868920154
2006,Sacramento Kings,SAC,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,5400000,2014.666667,0.474,0.15,0.726,398,109,116,53,40,793,2090,0.760258302,-0.260694197,0.499564105,3.43571101
2007,Sacramento Kings,SAC,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,5800000,50.55666667,0.214,0,1,10,4,1,1,0,10,2015,-2.983411231,-1.119638688,-4.103049919,-1.392883625
2017,Oklahoma City Thunder,OKC,Alex,Abrines,Alex Abrines,Shooting Guard,5725000,1134.186667,0.395,0.38,0.848,114,28,25,38,8,353,1135,0.543421233,-1.14483179,-0.601410556,1.249007678
2013,Toronto Raptors,TOT,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,788872,847.695,0.468,0.267,0.66,216,28,30,23,26,171,342,0.14286096,0.744081431,0.886942391,0.637616469
2013,Toronto Raptors,SAC,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,788872,786.2816667,0.472,0.2,0.667,201,24,28,19,23,152,342,0.14286096,0.744081431,0.886942391,0.637616469
2013,Toronto Raptors,TOR,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,788872,61.41333333,0.429,0.4,0.625,15,4,2,4,3,19,342,0.14286096,0.744081431,0.886942391,0.637616469
2014,New York Knicks,NYK,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,915243,1287.081667,0.459,0.3,0.784,301,68,60,27,22,398,847,-1.565257149,-0.216476793,-1.781733942,0.415918084
2015,Sacramento Kings,SAC,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,981348,875.8933333,0.556,0.388,0.735,188,27,27,29,24,307,1287,-2.456064586,-0.420948055,-2.877012641,-0.083312615
2016,Brooklyn Nets,TOT,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1914544,557.7333333,0.412,0.411,0.75,115,18,21,14,15,222,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2016,Brooklyn Nets,BKN,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1914544,509.8216667,0.425,0.434,0.754,107,18,19,14,15,209,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2016,Brooklyn Nets,DAL,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1914544,47.91166667,0.294,0.143,0.667,8,0,2,0,0,13,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2016,Dallas Mavericks,TOT,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1050961,557.7333333,0.412,0.411,0.75,115,18,21,14,15,222,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2016,Dallas Mavericks,BKN,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1050961,509.8216667,0.425,0.434,0.754,107,18,19,14,15,209,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2016,Dallas Mavericks,DAL,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1050961,47.91166667,0.294,0.143,0.667,8,0,2,0,0,13,876,-0.58754047,0.353933379,-0.233607091,1.123479142
2017,Brooklyn Nets,BKN,Quincy,Acy,Quincy Acy,Power Forward and Small Forward,1709538,1359.221667,0.356,0.349,0.817,257,57,60,33,29,411,558,-0.343630331,0.576149899,0.232519568,0.835632018
2015,Memphis Grizzlies,MEM,Jordan,Adams,Jordan Adams,Shooting Guard,1404600,14.66666667,0.333,0,0.6,2,3,2,3,0,7,258,2.095889849,0.518037995,2.613927843,0.715004586
2014,Oklahoma City Thunder,OKC,Steven,Adams,Steven Adams,Center,2184960,1770.55,0.544,0,0.502,523,66,99,38,86,537,1528,-1.477307512,-0.300116319,-1.777423832,0.741983669
2015,Oklahoma City Thunder,OKC,Steven,Adams,Steven Adams,Center,2279040,2014.388333,0.613,0,0.582,533,62,84,42,89,636,1771,-1.859905727,1.972597164,0.112691438,2.569431836
2016,Oklahoma City Thunder,OKC,Steven,Adams,Steven Adams,Center,3140517,2389.365,0.571,0,0.611,613,86,146,89,78,905,2567,1.305029655,4.157908948,5.462938603,10.71133281
2017,Oklahoma City Thunder,OKC,Steven,Adams,Steven Adams,Center,22471910,2486.851667,0.629,0,0.559,685,88,128,92,78,1056,2546,-1.626024544,1.772211917,0.146187373,3.775858111
2011,Houston Rockets,HOU,Jeff,Adrien,Jeff Adrien,Power Forward,270427,62.755,0.438,0,0.583,22,1,2,0,2,21,196,-2.498996525,-1.763299263,-4.262295789,-0.151244587
2012,Charlotte Bobcats,CHA,Jeff,Adrien,Jeff Adrien,Power Forward,804131,713.0083333,0.429,0,0.65,196,36,32,18,27,209,63,-2.873603967,-1.310644884,-4.184248851,-0.046685865
2013,Charlotte Bobcats,TOT,Jeff,Adrien,Jeff Adrien,Power Forward,916099,961.9283333,0.52,0,0.639,306,38,39,24,36,362,713,-1.948567285,-0.68553432,-2.634101605,0.042100378
2013,Charlotte Bobcats,MIL,Jeff,Adrien,Jeff Adrien,Power Forward,916099,705.4766667,0.515,0,0.67,218,31,31,17,21,305,713,-1.948567285,-0.68553432,-2.634101605,0.042100378
2013,Charlotte Bobcats,CHA,Jeff,Adrien,Jeff Adrien,Power Forward,916099,256.4516667,0.55,0,0.52,88,7,8,7,15,57,713,-1.948567285,-0.68553432,-2.634101605,0.042100378
2014,Houston Rockets,MIN,Jeff,Adrien,Jeff Adrien,Power Forward,981084,215.3316667,0.432,0,0.579,77,15,9,4,9,60,961,0.164665749,-2.104197284,-1.939531535,0.391857954
2008,Detroit Pistons,DET,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1015440,1233.825,0.437,0.402,0.817,134,44,43,28,13,363,1054,-2.171969909,1.073756459,-1.09821345,0.892136035
2009,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1086240,2220.996667,0.465,0.434,0.735,252,138,74,46,30,724,1300,-1.077158589,-0.714294485,-1.791453074,0.644357597
2010,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1959577,2324.293333,0.498,0.423,0.847,251,168,71,34,31,867,2341,0.371426836,-0.429075392,-0.057648556,3.227140916
2011,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7562500,2086.391667,0.471,0.398,0.798,197,149,85,36,13,943,2409,1.592216769,-0.483047223,1.109169546,4.713135834
2012,Orlando Magic,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,2306.65,0.439,0.3,0.857,239,206,138,40,11,1057,2315,1.393254618,-1.473209814,-0.079955196,3.144080798
2013,Orlando Magic,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7312500,2552.341667,0.459,0.427,0.815,262,248,146,35,3,1330,2307,-0.379040341,-2.659854332,-3.038894672,-0.339785596
2014,Portland Trail Blazers,TOT,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,2501.548333,0.424,0.354,0.843,247,129,116,41,7,1035,2552,1.22425804,-3.02318616,-1.79892812,1.231903915
